Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1998-12-01,1190.05,16.2,37.71,163.9,4.65,1745.88,23.77,55.32,38.82
1999-01-01,1248.77,16.28,37.93,164.3,4.72,1827.56,23.83,55.52,40.58
1999-02-01,1246.58,16.37,38.16,164.5,5,1822.14,23.92,55.77,40.4
1999-03-01,1281.66,16.45,38.38,165,5.23,1867.74,23.97,55.93,41.36
1999-04-01,1334.76,16.45,39.26,166.2,5.18,1931.08,23.8,56.8,42.7
1999-05-01,1332.07,16.45,40.14,166.2,5.54,1927.19,23.8,58.07,42.56
1999-06-01,1322.55,16.45,41.02,166.2,5.9,1913.41,23.8,59.35,42.18
1999-07-01,1380.99,16.51,42,166.7,5.79,1991.97,23.82,60.58,43.83
1999-08-01,1327.49,16.58,42.98,167.1,5.94,1910.22,23.85,61.85,41.93
1999-09-01,1318.17,16.64,43.96,167.9,5.92,1887.77,23.83,62.96,41.32
1999-10-01,1300.01,16.66,45.36,168.2,6.11,1858.44,23.81,64.85,40.55
1999-11-01,1391,16.67,46.77,168.3,6.03,1987.33,23.82,66.82,43.21
1999-12-01,1428.68,16.69,48.17,168.3,6.28,2041.17,23.85,68.82,44.2
2000-01-01,1425.59,16.71,49.1,168.8,6.66,2030.72,23.81,69.94,43.77
2000-02-01,1388.87,16.74,50.02,169.8,6.52,1966.76,23.7,70.84,42.19
2000-03-01,1442.21,16.76,50.95,171.2,6.26,2025.59,23.54,71.56,43.22
2000-04-01,1461.36,16.74,51.27,171.3,5.99,2051.29,23.5,71.97,43.53
2000-05-01,1418.48,16.72,51.6,171.5,6.44,1988.78,23.44,72.34,41.97
2000-06-01,1461.96,16.7,51.92,172.4,6.1,2039.04,23.29,72.41,42.78
2000-07-01,1473,16.58,52.51,172.8,6.05,2049.68,23.08,73.07,42.76
2000-08-01,1485.46,16.47,53.11,172.8,5.83,2067.02,22.91,73.9,42.87
2000-09-01,1468.05,16.35,53.7,173.7,5.8,2032.21,22.63,74.34,41.9
2000-10-01,1390.14,16.32,52.47,174,5.74,1921.04,22.56,72.5,39.37
2000-11-01,1378.04,16.3,51.23,174.1,5.72,1903.23,22.51,70.76,38.78
2000-12-01,1330.93,16.27,50,174,5.24,1839.22,22.48,69.1,37.27
2001-01-01,1335.63,16.17,48.48,175.1,5.16,1834.12,22.21,66.57,36.98
2001-02-01,1305.75,16.07,46.96,175.8,5.1,1785.95,21.98,64.23,35.83
2001-03-01,1185.85,15.97,45.44,176.2,4.89,1618.27,21.79,62.01,32.33
2001-04-01,1189.84,15.88,42.56,176.9,5.14,1617.29,21.58,57.85,32.17
2001-05-01,1270.37,15.78,39.67,177.7,5.39,1718.98,21.36,53.68,34.07
2001-06-01,1238.71,15.69,36.79,178,5.28,1673.31,21.19,49.7,33.07
2001-07-01,1204.45,15.71,33.96,177.5,5.24,1631.62,21.28,46.01,32.16
