DATE,PRICE,Open,High,Low,Vol.,Change %
"Oct 04, 2015",5309.22,5089.2,5311.5,5089.2,3.56B,4.32%
"Sep 27, 2015",5089.24,5076.7,5150.7,4958.1,4.21B,0.25%
"Sep 20, 2015",5076.66,5194.3,5194.3,5022.9,3.87B,-2.27%
"Sep 13, 2015",5194.32,5096.3,5218.3,5045.6,4.91B,1.92%
"Sep 06, 2015",5096.31,5060.8,5236.9,4996.6,4.44B,0.70%
"Aug 30, 2015",5060.77,5274.7,5274.7,5017.3,4.84B,-4.06%
"Aug 23, 2015",5274.7,5218.6,5314.5,4936.3,6.16B,0.95%
"Aug 16, 2015",5224.81,5360,5398.1,5183.4,4.33B,-2.52%
"Aug 09, 2015",5360.01,5472.3,5537.5,5355,3.70B,-2.05%
"Aug 02, 2015",5472.33,5681.7,5710.8,5472.3,3.51B,-3.68%
"Jul 26, 2015",5681.69,5556.6,5682.7,5519.8,4.03B,2.25%
"Jul 19, 2015",5556.8,5652.5,5699.3,5539,3.29B,-1.69%
"Jul 12, 2015",5652.54,5478.1,5672.1,5439.9,3.35B,3.18%
"Jul 05, 2015",5478.11,5528,5568.4,5372.4,3.55B,-0.90%
"Jun 28, 2015",5528.01,5536.1,5596.6,5383.4,4.21B,-0.15%
"Jun 21, 2015",5536.13,5591.5,5690.2,5515.2,4.24B,-0.99%
"Jun 14, 2015",5591.53,5552.1,5606.1,5501.7,4.89B,0.71%
"Jun 07, 2015",5552.14,5506.5,5562.6,5463,2.89B,0.83%
"May 31, 2015",5506.5,5774.9,5774.9,5479.7,3.68B,-4.65%
"May 24, 2015",5774.95,5668.2,5798.8,5668.2,4.36B,1.88%
"May 17, 2015",5668.21,5730,5731.2,5580.4,3.75B,-1.08%
"May 10, 2015",5730.04,5635.4,5741.4,5619,4.32B,1.68%
"May 03, 2015",5635.38,5798.8,5886.2,5609.8,3.89B,-2.82%
"Apr 26, 2015",5798.81,5906.8,5956.9,5734.7,3.99B,-1.83%
"Apr 19, 2015",5906.77,5851.5,5907.7,5783.7,3.80B,0.94%
"Apr 12, 2015",5851.54,5935.4,5963.5,5843.9,3.51B,-1.41%
"Apr 05, 2015",5935.36,5869.7,5947.8,5868.1,2.59B,1.12%
"Mar 29, 2015",5869.74,5888.9,5898.1,5799.8,3.24B,-0.33%
"Mar 22, 2015",5888.94,5936.3,5956.1,5848.5,3.80B,-0.80%
"Mar 15, 2015",5936.26,5788,5940,5736,5.73B,2.56%
"Mar 08, 2015",5787.98,5868.6,5868.6,5720.5,3.95B,-1.37%
"Mar 01, 2015",5868.59,5898.5,5962,5840.4,4.25B,-0.51%
"Feb 22, 2015",5898.48,5845.6,5917.1,5835.6,5.10B,0.90%
"Feb 15, 2015",5845.63,5835.5,5908.3,5804,4.20B,0.17%
"Feb 08, 2015",5835.51,5774.7,5850.2,5704,4.56B,1.05%
"Feb 01, 2015",5774.67,5551.6,5803,5551.6,4.43B,4.02%
"Jan 25, 2015",5551.58,5468.2,5579.4,5464.1,3.78B,1.53%
"Jan 18, 2015",5468.19,5278.8,5468.2,5263.5,3.69B,3.59%
"Jan 11, 2015",5278.77,5440.1,5440.1,5248.5,3.62B,-2.97%
"Jan 04, 2015",5440.12,5415,5447.6,5301.2,3.53B,0.46%
"Dec 28, 2014",5415.03,5369.5,5458.3,5366.4,1.73B,0.85%
"Dec 21, 2014",5369.45,5312.7,5414.1,5312.7,2.18B,1.07%
"Dec 14, 2014",5312.74,5196.9,5316.4,5121.7,5.36B,2.23%
"Dec 07, 2014",5196.85,5313.6,5378.4,5168.4,4.37B,-2.20%
"Nov 30, 2014",5313.64,5298.1,5364.7,5190.67,4.36B,0.29%
"Nov 23, 2014",5298.11,5292.1,5394.9,5286,3.96B,0.11%
"Nov 16, 2014",5292.08,5433.8,5440.4,5281.4,3.70B,-2.61%
"Nov 09, 2014",5433.82,5522.1,5523.5,5401.8,3.68B,-1.60%
"Nov 02, 2014",5522.1,5505,5522.1,5459.7,3.76B,0.31%
"Oct 26, 2014",5505.02,5399.3,5505.02,5399.3,4.34B,1.96%
"Oct 19, 2014",5399.31,5260.1,5411.6,5260.1,3.95B,2.65%
"Oct 12, 2014",5260.07,5185.7,5295.8,5121.2,4.52B,1.43%
"Oct 05, 2014",5185.73,5315.4,5320.7,5185.7,3.90B,-2.44%
"Sep 28, 2014",5315.44,5316.6,5336.6,5249.7,3.78B,-0.02%
"Sep 21, 2014",5316.63,5437.4,5438.1,5312.3,3.97B,-2.22%
"Sep 14, 2014",5437.3,5532.3,5532.3,5379.5,5.19B,-1.72%
"Sep 07, 2014",5532.31,5598.9,5608.6,5511.9,3.72B,-1.19%
"Aug 31, 2014",5598.93,5624.6,5670.5,5593.8,3.80B,-0.46%
"Aug 24, 2014",5624.57,5640.5,5650.5,5613.5,4.72B,-0.28%
"Aug 17, 2014",5640.54,5559.6,5672.3,5559.6,4.01B,1.46%
"Aug 10, 2014",5559.6,5429.6,5571.7,5429.6,3.93B,2.39%
"Aug 03, 2014",5429.59,5544.6,5544.6,5419.7,3.62B,-2.13%
"Jul 27, 2014",5547.62,5574.2,5633.3,5535.8,3.70B,-0.48%
"Jul 20, 2014",5574.23,5519.2,5587.7,5517.6,3.56B,1.00%
"Jul 13, 2014",5519.16,5474.6,5545.9,5472.9,3.59B,0.81%
"Jul 06, 2014",5474.59,5511.8,5523.1,5430.1,3.32B,-0.68%
"Jun 29, 2014",5511.81,5429.1,5519.1,5361.4,3.77B,1.52%
"Jun 22, 2014",5429.14,5401.6,5462.1,5363.2,4.10B,0.51%
"Jun 15, 2014",5401.63,5383.7,5446.4,5360.3,4.88B,0.33%
"Jun 08, 2014",5383.71,5443.5,5474,5354.7,3.11B,-1.10%
"Jun 01, 2014",5443.51,5466.3,5506,5400.6,4.08B,-0.55%
"May 25, 2014",5473.77,5470.3,5520.3,5470.3,3.95B,0.06%
"May 18, 2014",5470.26,5458.9,5484.3,5353.4,3.94B,0.21%
"May 11, 2014",5458.91,5442,5490.2,5414.1,3.86B,0.31%
"May 04, 2014",5442,5438.8,5472.6,5402,3.25B,0.06%
"Apr 27, 2014",5438.81,5515.5,5533.3,5412.7,3.74B,-1.39%
"Apr 20, 2014",5515.5,5444.8,5521.9,5442.7,2.05B,1.30%
"Apr 13, 2014",5444.82,5423.5,5450.5,5353.6,2.88B,0.39%
"Apr 06, 2014",5423.46,5428.6,5500,5392.5,4.07B,-0.09%
"Mar 30, 2014",5428.58,5376.8,5428.6,5358.6,4.10B,0.96%
"Mar 23, 2014",5376.76,5354,5405.3,5319.2,4.65B,0.43%
"Mar 16, 2014",5353.97,5347.1,5377,5307,6.09B,0.13%
"Mar 09, 2014",5347.14,5477,5477,5347.1,4.78B,-2.37%
"Mar 02, 2014",5477.02,5415.4,5477.3,5355.2,4.94B,1.14%
"Feb 23, 2014",5415.45,5449.5,5471.8,5412.3,5.38B,-0.62%
"Feb 16, 2014",5449.43,5370.5,5460.4,5367.5,5.05B,1.54%
"Feb 09, 2014",5366.88,5184.5,5366.9,5184.5,4.47B,3.52%
"Feb 02, 2014",5184.51,5205.1,5212.5,5072.7,4.21B,-0.40%
"Jan 26, 2014",5205.1,5254.3,5254.3,5174.4,3.33B,-0.94%
"Jan 19, 2014",5254.34,5316.4,5342,5254.3,3.86B,-1.17%
"Jan 12, 2014",5316.43,5316.3,5328.6,5215.5,4.02B,0.00%
"Jan 05, 2014",5316.27,5351.8,5364.4,5298.4,3.25B,-0.66%
"Dec 29, 2013",5351.79,5323.8,5383.4,5323.8,1.70B,0.53%
"Dec 22, 2013",5323.79,5261.5,5362.5,5257.8,1.38B,1.18%
"Dec 15, 2013",5261.55,5101.5,5261.55,5065.4,4.67B,3.14%
"Dec 08, 2013",5101.48,5186.1,5205.8,5037.4,4.43B,-1.63%
"Dec 01, 2013",5186.02,5314.3,5325.7,5156.8,4.41B,-2.41%
"Nov 24, 2013",5314.32,5330.3,5368.1,5302,4.48B,-0.30%
"Nov 17, 2013",5330.32,5396.2,5398.4,5282,3.79B,-1.22%
"Nov 10, 2013",5396.21,5394.4,5432.4,5307.9,3.99B,0.03%
"Nov 03, 2013",5394.38,5406.5,5432.1,5374.2,3.65B,-0.22%
"Oct 27, 2013",5406.54,5385.7,5453.1,5385.7,4.35B,0.39%
"Oct 20, 2013",5385.71,5321,5400.4,5321,4.57B,1.22%
