DATE,PRICE,Open,High,Low,Vol.,Change %
"Jan 19, 2014",15879.11,16459.27,16520.6,15879.11,441.13M,-3.52%
"Jan 12, 2014",16458.56,16434.03,16505.28,16240.6,583.76M,0.13%
"Jan 05, 2014",16437.05,16474.04,16562.32,16378.61,443.10M,-0.20%
"Dec 29, 2013",16469.99,16484.51,16588.25,16416.49,286.72M,-0.05%
"Dec 22, 2013",16478.41,16225.25,16529.01,16225.25,209.96M,1.59%
"Dec 15, 2013",16221.14,15759.6,16287.84,15759.6,712.75M,2.96%
"Dec 08, 2013",15755.36,16019.49,16058.4,15703.79,467.45M,-1.65%
"Dec 01, 2013",16020.2,16087.12,16098,15791.29,534.02M,-0.41%
"Nov 24, 2013",16086.41,16072.09,16174.51,16055.46,336.41M,0.13%
"Nov 17, 2013",16064.77,15962.72,16068.78,15865.37,423.77M,0.65%
"Nov 10, 2013",15961.7,15759.28,15962.98,15672,480.88M,1.27%
"Nov 03, 2013",15761.78,15621.2,15797.68,15522.18,478.14M,0.94%
"Oct 27, 2013",15615.55,15569.19,15721,15533.48,474.41M,0.29%
"Oct 20, 2013",15570.28,15401.32,15570.6,15362.66,490.26M,1.11%
"Oct 13, 2013",15399.65,15231.33,15412.97,15136.38,530.86M,1.07%
"Oct 06, 2013",15237.11,15069.3,15237.3,14719.43,477.77M,1.09%
"Sep 29, 2013",15072.58,15249.82,15249.82,14947.03,457.28M,-1.22%
"Sep 22, 2013",15258.24,15452.31,15466.95,15211.81,436.95M,-1.25%
"Sep 15, 2013",15451.09,15381.36,15709.58,15381.36,851.55M,0.49%
"Sep 08, 2013",15376.06,14927.19,15380.97,14927.19,486.60M,3.04%
"Sep 01, 2013",14922.5,14801.55,15009.84,14777.48,474.10M,0.76%
"Aug 25, 2013",14810.31,15014.58,15049.98,14760.41,555.07M,-1.33%
"Aug 18, 2013",15010.51,15076.79,15106.39,14880.84,597.68M,-0.47%
"Aug 11, 2013",15081.47,15415.22,15504.14,15054.38,533.84M,-2.23%
"Aug 04, 2013",15425.51,15651.98,15655.21,15346.65,425.17M,-1.49%
"Jul 28, 2013",15658.36,15557.14,15658.43,15479.13,565.80M,0.64%
"Jul 21, 2013",15558.83,15543.97,15604.22,15405.16,526.98M,0.10%
"Jul 14, 2013",15543.74,15459.69,15589.4,15415.71,697.18M,0.51%
"Jul 07, 2013",15464.3,15137.22,15498.39,15137.22,606.23M,2.17%
"Jun 30, 2013",15135.84,14911.6,15137.51,14858.93,392.74M,1.52%
"Jun 23, 2013",14909.6,14795.79,15075.01,14551.27,771.49M,0.74%
"Jun 16, 2013",14799.4,15078.71,15340.09,14688.43,942.56M,-1.80%
"Jun 09, 2013",15070.18,15247.81,15300.64,14953.45,513.55M,-1.17%
"Jun 02, 2013",15248.12,15123.55,15304.98,14844.22,701.45M,0.88%
"May 26, 2013",15115.57,15307.33,15521.49,15115.57,574.68M,-1.23%
"May 19, 2013",15303.1,15348.33,15542.4,15180.23,665.71M,-0.33%
"May 12, 2013",15354.4,15113.42,15357.4,15053.46,663.75M,1.56%
"May 05, 2013",15118.49,14973.96,15144.83,14941.09,543.68M,0.97%
"Apr 28, 2013",14973.96,14712.55,15009.59,14687.05,568.99M,1.78%
"Apr 21, 2013",14712.55,14547.51,14768.05,14457.6,680.75M,1.13%
"Apr 14, 2013",14547.51,14865.06,14865.06,14444.03,821.27M,-2.14%
"Apr 07, 2013",14865.06,14565.25,14887.51,14497.8,619.92M,2.06%
"Mar 31, 2013",14565.25,14578.54,14684.49,14434.43,553.00M,-0.09%
"Mar 24, 2013",14578.54,14512.03,14585.1,14395,467.26M,0.46%
"Mar 17, 2013",14512.03,14514.11,14546.82,14382.09,574.94M,-0.01%
"Mar 10, 2013",14514.11,14397.07,14539.29,14373.32,806.07M,0.81%
"Mar 03, 2013",14397.07,14089.66,14413.17,14030.37,572.14M,2.18%
"Feb 24, 2013",14089.66,14000.57,14149.15,13784.01,694.86M,0.64%
"Feb 17, 2013",14000.57,13981.76,14058.27,13834.4,546.21M,0.13%
"Feb 10, 2013",13981.76,13992.97,14038.97,13906.73,633.25M,-0.08%
"Feb 03, 2013",13992.97,14009.79,14022.62,13852.2,610.76M,-0.12%
